Identifiant;Nom;Adresse;Localisation;Code postal;Code INSEE;Commune;Code catégorie;Sous-Catégorie;Source;Date d’installation;Descriptif;Téléphone;Lien;Ouverture;Capacité;Capacité (valeur);Conditions;Exploitant;Modèle de station;Lignes de transport en commun;Géométrie
34551;Station biclooPlus Bonne Garde (n°108);Rue Bonne Garde;Face 97, rue Bonne Garde;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;24 places;24;ABONNEMENT TICKET;JCDecaux;;4 - LS;"{""type"": ""Point"", ""coordinates"": [-1.5321050002259131, 47.197216999176916]}"
34556;Station biclooPlus Mairie De Rezé (n°113);Place Jean Baptiste Daviais;Place Jean-Baptiste Daviais - REZÉ;44400;44143;Rezé;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;21 places;21;ABONNEMENT TICKET;JCDecaux;;30 - 97 - LS;"{""type"": ""Point"", ""coordinates"": [-1.569362000602423, 47.19111699896786]}"
34563;Station biclooPlus Rond-Point De Paris (n°120);Boulevard Jules Verne;16, boulevard Jules Verne;44300;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;30 places;30;ABONNEMENT TICKET;JCDecaux;;C1;"{""type"": ""Point"", ""coordinates"": [-1.5349810001495312, 47.23485299864353]}"
34564;Station biclooPlus Victor Richard (n°121);Place Victor Richard;12, place Victor Richard;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.533328999746924, 47.22861399871924]}"
34568;Station biclooPlus Placis (n°125);Avenue de la Martellière;Avenue de la Martellière - SAINT-SÉBASTIEN-SUR-LOIRE;44230;44190;Saint-Sébastien-sur-Loire;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;18 places;18;ABONNEMENT TICKET;JCDecaux;;102 - 27 - 28;"{""type"": ""Point"", ""coordinates"": [-1.52048099974515, 47.1993779989306]}"
34522;Station biclooPlus Malakoff (n°79);Quai Malakoff;15, quai de Malakoff;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;54;"{""type"": ""Point"", ""coordinates"": [-1.536954000568135, 47.21339499919814]}"
34523;Station biclooPlus Victor Hugo (n°80);Boulevard Gustave Roch;25, boulevard Victor Hugo - 28, boulevard Gustave Roch;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;15 places;15;ABONNEMENT TICKET;JCDecaux;;132 - 26;"{""type"": ""Point"", ""coordinates"": [-1.551548484533396, 47.20400320769318]}"
34539;Station biclooPlus Tortière (n°96);Boulevard Eugène Orieux;Pont de la Tortière - boulevard Eugène Orieux;44000;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;16 places;16;ABONNEMENT TICKET;JCDecaux;;10 - 23;"{""type"": ""Point"", ""coordinates"": [-1.549221766433313, 47.23533522147605]}"
34545;Station biclooPlus Gare De Pont Rousseau (n°102);Rue de la Gare;Rue de la Gare - REZÉ;44400;44143;Rezé;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;20 places;20;ABONNEMENT TICKET;JCDecaux;;2;"{""type"": ""Point"", ""coordinates"": [-1.549211999741596, 47.19315999944254]}"
34546;Station biclooPlus Grue Jaune (n°103);Mail des Chantiers;Grue Jaune - Face au mail des Chantiers;44200;44109;Nantes;Equipements vélo;biclooPlus;JCDecaux;;;01 30 79 33 44;bicloo.nantesmetropole.fr;7 jours sur 7. 24 h sur 24.;21 places;21;ABONNEMENT TICKET;JCDecaux;;;"{""type"": ""Point"", ""coordinates"": [-1.56919099958253, 47.20487899863963]}"
